"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-01",,,"49",",,7","17",",,7","38",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-02",,,"43",",,7","26",",,7","42",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-03",,,"46",",,7","27",",,7","45",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-04",,,"49",",,7","31",",,7","44",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-05",,,"44",",,7","26",",,7","41",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-06",,,"41",",,7","23",",,7","40",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-07",,,"50",",,7","26",",,7","48",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-08",,,"50",",,7","24",",,7","32",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-09",,,"38",",,7","30",",,7","36",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-11",,,"43",",,7","26",",,7","35",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-12",,,"38",",,7","25",",,7","33",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-14",,,"34",",,7","27",",,7","28",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-15",,,"38",",,7","17",",,7","29",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-18",,,"33",",,7","19",",,7","32",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-19",,,"32",",,7","19",",,7","31",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-21",,,"37",",,7","27",",,7","36",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-22",,,"43",",,7","33",",,7","41",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-23",,,"41",",,7","30",",,7","35",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-24",,,"44",",,7","33",",,7","44",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-25",,,"46",",,7","33",",,7","40",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-26",,,"46",",,7","38",",,7","43",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-27",,,"45",",,7","35",",,7","42",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-29",,,"50",",,7","31",",,7","48",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-30",,,"48",",,7","35",",,7","38",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-01-31",,,"54",",,7","30",",,7","51",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-01",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-02",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-03",,,"39",",,7","20",",,7","34",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-04",,,"37",",,7","17",",,7","35",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-05",,,"40",",,7","23",",,7","40",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-06",,,"55",",,7","27",",,7","54",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-07",,,"54",",,7","25",",,7","50",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-08",,,"53",",,7","24",",,7","49",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-09",,,"57",",,7","24",",,7","42",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-10",,,"52",",,7","23",",,7","48",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-11",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-12",,,"58",",,7","24",",,7","50",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-13",,,"50",",,7","21",",,7","40",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-14",,,"56",",,7","25",",,7","55",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-15",,,"56",",,7","25",",,7","33",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-16",,,"59",",,7","33",",,7","55",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-17",,,"55",",,7","24",",,7","49",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-18",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-19",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-20",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-21",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-22",,,"53",",,7","24",",,7","53",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-23",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-24",,,"56",",,7","24",",,7","53",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-25",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-26",,,"59",",,7","25",",,7","35",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-27",,,"58",",,7","29",",,7","48",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-28",,,"64",",,7","26",",,7","57",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-02-29",,,"57",",,7","32",",,7","53",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-03",,,"65",",,7","29",",,7","64",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-04",,,"65",",,7","28",",,7","62",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-05",,,"64",",,7","27",",,7","60",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-06",,,"61",",,7","29",",,7","37",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-07",,,"59",",,7","32",",,7","36",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-08",,,"41",",,7","30",",,7","40",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-09",,,"44",",,7","31",",,7","44",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-10",,,"61",",,7","29",",,7","55",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-12",,,"60",",,7","29",",,7","40",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-14",,,"62",",,7","26",",,7","31",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-15",,,"62",",,7","26",",,7","31",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-16",,,"35",",,7","25",",,7","32",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-17",,,"32",",,7","27",",,7","29",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-18",,,"34",",,7","26",",,7","33",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-20",,,"46",",,7","29",",,7","44",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-21",,,"47",",,7","27",",,7","41",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-23",,,"52",",,7","28",",,7","34",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-24",,,"44",",,7","30",",,7","34",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-25",,,"35",",,7","25",",,7","30",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-27",,,"40",",,7","18",",,7","26",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-28",,,"45",",,7","26",",,7","41",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-29",,,"41",",,7","32",",,7","35",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-30",,,"46",",,7","33",",,7","39",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-03-31",,,"51",",,7","37",",,7","50",",,7,1600"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-01",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-02",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-03",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-04",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-05",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-06",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-07",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-08",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-09",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-10",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-11",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-12",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-13",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-14",,,,,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2020-04-15",,,,,,,,
